memberId,amount,merchant,date
1,1545,GS25,2025-07-02
2,11829,롯데리아,2025-08-09
3,6430,세븐일레븐,2025-06-12
4,169105,톡스앤필의원,2025-08-11
5,39402,이마트,2025-07-28
6,4531,(주)에이비카페,2025-06-21
7,7812,더벤티,2025-06-28
8,8000,(주)에이비카페,2025-07-19
9,13955,세븐일레븐,2025-07-04
10,101669,오렌지주유소,2025-07-19
1,6567,세븐일레븐,2025-08-19
2,8170,메가커피,2025-08-30
3,121797,롯데월드,2025-07-08
4,14479,정약국,2025-07-19
5,25008,이마트,2025-07-16
6,124276,세인트존스호텔,2025-08-27
7,5882,더벤티,2025-07-02
8,6551,세븐일레븐,2025-08-21
9,16318,CGV,2025-06-08
10,7969,이마트,2025-07-22
1,5192,세븐일레븐,2025-08-12
2,6332,메가커피,2025-08-03
3,19744,롯데시네마,2025-06-18
4,179921,톡스앤필의원,2025-08-14
5,55898,코스트코,2025-06-29
6,9568,정약국,2025-06-12
7,8435,쿰베오,2025-06-21
8,49504,코스트코,2025-07-20
9,23608,롯데시네마,2025-08-10
10,44496,오렌지주유소,2025-06-15
1,10780,GS25,2025-08-22
2,8578,(주)에이비카페,2025-07-29
3,166392,롯데월드,2025-07-04
4,26115,정약국,2025-06-14
5,89929,오렌지주유소,2025-08-04
6,6175,(주)에이비카페,2025-06-21
7,23789,런던베이글,2025-08-16
8,5301,이마트,2025-07-17
9,11713,런던베이글,2025-07-01
10,2744,메가커피,2025-08-02
1,10318,CGV,2025-07-31
2,4262,메가커피,2025-08-17
3,17503,롯데시네마,2025-08-28
4,12680,맥도날드,2025-08-25
5,112994,오렌지주유소,2025-07-28
6,16285,이마트,2025-06-03
7,7009,더벤티,2025-06-01
8,9338,세븐일레븐,2025-06-09
9,11453,런던베이글,2025-07-01
10,32604,이마트,2025-06-17
1,10670,GS25,2025-07-02
2,12852,쿰베오,2025-06-13
3,19009,CGV,2025-07-30
4,7244,정약국,2025-08-22
5,34251,이마트,2025-06-14
6,4175,GS25,2025-06-18
7,8434,(주)에이비카페,2025-06-10
